#xor_srcip xor_dstip xor_prot xor_srcport xor_dstport flowcnt pktcnt
2427736081 2468696461 6 1855 5195 7 27
1920883157 1781232510 6 736 45783 5 7
0 0 0 0 0 0 0
3716038727 2001573089 17 60 10482 1 1
2107312654 1898174265 17 355 39551 5 8
58953801 27597166 23 306 23010 2 2
2801280447 182524596 0 200 29400 4 4
2098742479 3679936038 6 60 51421 1 1
3669932355 1019711380 17 482 40978 3 4
3616902471 2090454987 6 315 22521 3 3
1912509319 1006798348 17 708 5025 3 3
2894260159 1205971414 23 1028 50985 4 171
1983777748 2055644278 17 1514 5089 3 224
3715938471 2634279585 6 66 57093 5 6
3596822304 2076425220 17 1409 61538 3 9
2691148620 221658433 23 176 1743 2 6
3716134007 2001590281 6 941 1636 1 1
3642730342 908564351 17 175 60872 3 3
3417869789 2090574358 6 60 80 1 4
2865522267 198589906 23 109 20298 4 4
100771070 21788 0 34 54178 2 2
3716097224 3679489816 6 1494 6700 1 1
2098940497 1956296450 6 152 42592 3 3
183184063 2920892334 0 122 28472 4 4
2791764477 12705321 0 150 35838 2 2
3715979944 2076536320 6 553 9996 5 5
2812717264 1200202743 23 341 53474 6 7
394270524 205748301 23 277 13860 8 8
2812579014 2904548613 23 1238 49247 6 8
3703719900 3614823557 6 574 4768 7 7
2094272026 3535850584 17 196 62301 3 3
1989009124 2080957785 17 128 7666 1 1
3715978457 2034606157 17 1140 57346 7 7
2874197392 1284158672 0 1275 20985 4 107
3558225785 908586769 6 367 5761 3 3
48695865 1191070087 23 1223 37235 4 9
1983775640 2577069996 6 348 3774 3 3
1912354568 1019655610 17 68 13813 3 3
66640 1191500344 0 89 56841 2 2
2861534920 182710027 23 560 40369 4 4
1867499966 2495814422 17 144 1429 5 11
2894228227 163278 0 176 36073 4 7
122802116 3993458930 0 1407 31186 2 2
3716039576 2063476243 6 63 80 1 1
1912449296 1019611813 17 1330 62183 3 125
48347 20937094 23 1436 24197 2 1547
2823915447 189141216 0 22 2906 2 2
2936261379 1264548724 0 1495 62136 4 4
2023043561 1892062131 6 3 1433 3 3
122708911 1272023338 23 469 14632 2 2
8541655 203235743 0 1584 29618 4 8
1912562048 2063476120 17 74 8759 1 1
0 0 0 0 0 0 0
2065118341 2080919418 17 160 17696 1 1
3447783368 975533195 17 312 1359 3 3
3669962292 1934879068 6 1514 8711 1 1
2882691166 182668469 0 168 23831 4 4
1983896036 2073924459 17 433 34531 5 5
2805285623 146840541 23 234 47517 4 4
2023046505 989207971 17 81 36185 3 6
80771223 263164005 23 1198 17215 4 14
2098894755 1978166095 6 765 3063 3 72
472672537 1230608938 23 250 45551 4 188
3684081683 2076434008 17 229 40994 3 3
3716043913 3410839659 6 62 4488 1 1
2805424304 1136588582 23 479 27460 4 4
2894234896 3860221849 23 118 5312 2 2
2894165531 1205890352 23 118 27814 2 22
3617029737 806840709 6 107 7044 5 9
2065113043 2076386634 17 143 6800 1 1
381894463 23065280 0 0 3873 2 2
1912405401 3410834728 17 60 6028 1 1
3716140538 3679570631 6 1494 20338 1 4
1882487212 2375041460 17 845 41527 5 7
2737491567 169943735 23 37 5517 4 6
60738048 1274387183 0 879 49092 4 6
252862765 3866095497 0 8 64320 2 2
216296853 47508 0 1355 525 2 2
2691072029 2818727221 0 376 50638 2 2
2774711915 2835577958 0 309 35163 2 2
2063077950 2315691678 17 1403 25204 3 3
